SUPPLIER_ID,SUPPLIER_NAME,CONTACT_NAME,CONTACT_TITLE,ADDRESS,CITY,REGION,POSTAL_CODE,COUNTRY,PHONE,EMAIL,WEBSITE,STATUS,RATING,DISCOUNT
1,"Rodriguez, Figueroa and Sanchez",Brian Yang,Sales Manager,600 Jeffery Parkways,New Jamesside,Nebraska,29394,Kiribati,001-740-326-5423,jamesmichael@example.com,https://www.stevens.com/,ACTIVE,3.6,7.23
2,"Carter, Fuller and Mcclure",Corey Jones,Sales Manager,1316 Chavez Village,Franciscostad,Indiana,88342,Ethiopia,001-719-228-3276x483,lydiatrujillo@example.com,https://www.gentry.com/,ACTIVE,4.8,5.87
3,Rios Group,Maria Thomas,VP Sales,88496 Cox Dam,Daviston,Delaware,20534,Niue,(669)216-6978,maldonadoamanda@example.com,https://www.graham-chavez.com/,ACTIVE,3.2,7.33
4,"Gill, Romero and Rodriguez",Sarah Romero,Sales Manager,52880 Burns Creek,Natashaport,Kansas,08093,Dominican Republic,001-411-671-8227,ibrandt@example.net,http://carney-santos.info/,ACTIVE,4.4,12.01
5,"Hayes, Wright and Brown",Julian Chapman,VP Sales,03105 Willie Harbors,Lewisberg,Washington,75348,Morocco,337.263.1165x6670,zchandler@example.org,http://www.herrera.biz/,ACTIVE,4.2,13.09
6,Ramirez and Sons,Angela Morton,Sales Manager,80132 Tucker Forest,Barreraburgh,Missouri,00783,Iceland,274-768-7234x309,williamsthomas@example.net,http://www.miller.com/,ACTIVE,3.3,9.23
7,Wilson-Zamora,Kristopher Harvey,Director,998 Donovan Ford Suite 346,Lake Debbie,New Jersey,41942,Vanuatu,001-310-579-9118x38425,justin78@example.net,https://www.montoya.com/,ACTIVE,4.9,8.37
8,Wilson-Rodriguez,Denise Jacobs,Sales Manager,48740 Cynthia Village Suite 005,Lake Tina,Hawaii,97655,Kenya,+1-768-401-1280,tanderson@example.com,http://fleming.com/,ACTIVE,3.7,8.44
9,Deleon-Henson,Marc Moore,Director,26025 Pham Way,West Erik,Vermont,14669,Hong Kong,2735375433,emurphy@example.com,https://zavala.com/,ACTIVE,4.5,10.36
10,White-Estes,Brian Hamilton,VP Sales,9816 Jonathan Station Suite 088,West Ryan,Texas,43780,Nigeria,414-684-6564x82366,akelley@example.com,https://www.floyd-lawson.com/,ACTIVE,3.6,11.29
11,Ramos-Lowe,Rebecca Moyer,Director,148 Davis Terrace,Lake Lance,Illinois,19814,Anguilla,8379917693,psanchez@example.net,http://www.robinson-brock.net/,ACTIVE,4.4,5.46
12,Williams-Wright,Joyce Solis,Account Manager,9868 Merritt Summit Suite 743,Katiehaven,New York,82650,Dominican Republic,571-843-4558x122,jasminebrown@example.com,https://brown-wall.biz/,ACTIVE,5.0,13.55
13,"Shah, Smith and Gilmore",Karen Bender,Sales Manager,6889 Tracy Groves Suite 706,Elizabethfurt,Washington,22133,Tajikistan,929.480.6990x162,greenmark@example.com,https://ramirez-bean.biz/,ACTIVE,3.9,13.34
14,Conley-Ruiz,Amy Crane,Account Manager,100 James Brooks,East David,Texas,15494,Mongolia,674.352.9912,hickmanbarbara@example.com,https://www.vargas.com/,ACTIVE,3.4,7.67
15,Terry LLC,Lindsay Martinez,Sales Manager,8651 Smith Manor,Garciastad,South Dakota,60759,Russian Federation,(862)684-9877,melissa14@example.com,http://bishop.com/,ACTIVE,3.3,12.29
16,Freeman LLC,Gina Beard,Account Manager,083 John Lodge Suite 837,Westtown,Colorado,39067,Cyprus,(934)695-7885x6855,john13@example.com,http://www.robinson.com/,ACTIVE,3.5,14.25
